log_timestamp,date_read,log_value,library
5/31/2016 19:38,5/31/2016,1,Main (Oakland)
5/31/2016 19:39,5/31/2016,1,Main (Oakland)
5/31/2016 19:58,5/31/2016,1,Allegheny
5/31/2016 20:23,5/31/2016,1,Allegheny
5/31/2016 20:35,5/31/2016,1,Woods Run
5/31/2016 21:16,5/31/2016,1,Squirrel Hill
5/31/2016 21:17,5/31/2016,1,Squirrel Hill
5/31/2016 23:28,5/31/2016,1,East Liberty
6/1/2016 0:22,5/31/2016,1,Squirrel Hill
6/1/2016 1:21,5/31/2016,1,Lawrenceville
6/1/2016 1:24,5/31/2016,1,Lawrenceville
6/1/2016 2:06,5/31/2016,1,Squirrel Hill
6/1/2016 2:06,5/31/2016,1,Squirrel Hill
6/1/2016 2:06,5/31/2016,1,Squirrel Hill
6/1/2016 2:12,5/31/2016,1,Squirrel Hill
6/1/2016 2:12,5/31/2016,1,Squirrel Hill
6/1/2016 2:12,5/31/2016,1,Squirrel Hill
6/1/2016 2:12,5/31/2016,1,Squirrel Hill
6/1/2016 2:13,5/31/2016,1,Squirrel Hill
6/1/2016 2:23,5/31/2016,1,Squirrel Hill
6/1/2016 2:24,5/31/2016,1,Squirrel Hill
6/1/2016 11:07,6/1/2016,1,Squirrel Hill
6/1/2016 11:10,6/1/2016,1,Squirrel Hill
6/1/2016 11:14,6/1/2016,1,Squirrel Hill
6/1/2016 11:15,6/1/2016,1,Squirrel Hill
6/1/2016 12:09,5/27/2016,1,Main (Oakland)
6/1/2016 12:09,5/16/2016,1,Main (Oakland)
6/1/2016 12:46,6/1/2016,1,Main (Oakland)
6/1/2016 12:48,6/1/2016,1,Main (Oakland)
6/1/2016 12:49,6/1/2016,1,Main (Oakland)
6/1/2016 12:49,6/1/2016,1,Main (Oakland)
6/1/2016 13:09,6/1/2016,1,Main (Oakland)
6/1/2016 13:16,5/30/2016,1,Squirrel Hill
6/1/2016 13:16,5/30/2016,1,Squirrel Hill
6/1/2016 13:25,5/30/2016,1,Squirrel Hill
6/1/2016 13:25,6/1/2016,1,Squirrel Hill
6/1/2016 13:25,6/1/2016,1,Lawrenceville
6/1/2016 13:25,6/1/2016,1,Squirrel Hill
6/1/2016 13:25,6/1/2016,1,Squirrel Hill
6/1/2016 13:26,6/1/2016,1,Squirrel Hill
6/1/2016 13:43,6/1/2016,1,Main (Oakland)
6/1/2016 13:44,5/31/2016,1,Main (Oakland)
6/1/2016 13:45,5/28/2016,1,Main (Oakland)
6/1/2016 13:47,6/1/2016,1,Main (Oakland)
6/1/2016 13:49,6/1/2016,1,Main (Oakland)
6/1/2016 13:50,5/30/2016,1,Main (Oakland)
6/1/2016 13:50,5/2/2016,1,Mt. Washington
6/1/2016 13:51,5/10/2016,1,Mt. Washington
6/1/2016 13:52,5/22/2016,1,Main (Oakland)
6/1/2016 13:52,5/25/2016,1,Main (Oakland)
6/1/2016 13:53,5/27/2016,1,Main (Oakland)
6/1/2016 13:53,5/28/2016,1,Main (Oakland)
6/1/2016 13:54,4/4/2016,1,Main (Oakland)
6/1/2016 13:54,5/17/2016,1,Mt. Washington
6/1/2016 13:54,4/7/2016,1,Main (Oakland)
6/1/2016 13:55,5/12/2016,1,Mt. Washington
6/1/2016 13:55,5/31/2016,1,Mt. Washington
6/1/2016 13:56,4/14/2015,1,Main (Oakland)
6/1/2016 13:56,5/14/2016,1,Mt. Washington
6/1/2016 13:56,5/19/2016,1,Mt. Washington
6/1/2016 13:56,4/26/2015,1,Main (Oakland)
6/1/2016 13:57,5/23/2016,1,Mt. Washington
6/1/2016 13:57,4/27/2015,1,Main (Oakland)
6/1/2016 13:58,5/26/2016,1,Mt. Washington
6/1/2016 13:58,5/5/2015,1,Main (Oakland)
6/1/2016 13:59,5/11/2015,1,Main (Oakland)
6/1/2016 13:59,5/15/2016,1,Mt. Washington
6/1/2016 13:59,5/20/2015,1,Main (Oakland)
6/1/2016 13:59,5/29/2016,1,Mt. Washington
6/1/2016 14:00,5/30/2016,1,Mt. Washington
6/1/2016 14:00,5/20/2015,1,Main (Oakland)
6/1/2016 14:01,5/24/2015,1,Main (Oakland)
6/1/2016 14:01,5/26/2015,1,Main (Oakland)
6/1/2016 14:07,5/28/2016,1,Main (Oakland)
6/1/2016 14:08,5/28/2016,1,Main (Oakland)
6/1/2016 14:09,5/27/2016,1,Main (Oakland)
6/1/2016 14:18,6/1/2016,1,Brookline
6/1/2016 14:21,5/25/2016,1,Squirrel Hill
6/1/2016 14:33,6/1/2016,1,West End
6/1/2016 15:06,5/29/2016,1,Main (Oakland)
6/1/2016 15:54,5/28/2016,1,Main (Oakland)
6/1/2016 16:02,6/1/2016,1,Main (Oakland)
6/1/2016 16:03,6/1/2016,1,Main (Oakland)
6/1/2016 16:04,6/1/2016,1,Main (Oakland)
6/1/2016 16:04,6/1/2016,1,Main (Oakland)
6/1/2016 16:06,6/1/2016,1,Main (Oakland)
6/1/2016 16:36,6/1/2016,1,East Liberty
6/1/2016 16:59,6/1/2016,1,Allegheny
6/1/2016 16:59,6/1/2016,1,Allegheny
6/1/2016 17:00,6/1/2016,1,Allegheny
6/1/2016 17:01,6/1/2016,1,Allegheny
6/1/2016 17:02,5/31/2016,1,Allegheny
6/1/2016 17:02,5/31/2016,1,Allegheny
6/1/2016 17:04,5/31/2016,1,Allegheny
6/1/2016 17:09,6/1/2016,1,Allegheny
6/1/2016 17:13,5/31/2016,1,Allegheny
6/1/2016 17:14,5/31/2016,1,Allegheny
6/1/2016 17:14,5/31/2016,1,Allegheny
6/1/2016 18:06,6/1/2016,1,Lawrenceville
6/1/2016 19:06,6/1/2016,1,Homewood
6/1/2016 19:13,6/1/2016,3,Main (Oakland)
6/1/2016 19:14,6/1/2016,3,Main (Oakland)
6/1/2016 19:15,6/1/2016,1,Main (Oakland)
6/1/2016 19:15,6/1/2016,1,Main (Oakland)
6/1/2016 19:39,6/1/2016,1,Lawrenceville
6/1/2016 19:55,6/1/2016,1,Downtown & Business
6/1/2016 19:57,5/31/2016,1,Downtown & Business
6/1/2016 20:06,6/1/2016,1,Hazelwood
6/1/2016 20:11,6/1/2016,1,Hazelwood
6/1/2016 21:21,6/1/2016,1,Main (Oakland)
6/1/2016 21:41,5/10/2016,1,Beechview
6/1/2016 21:41,5/10/2016,1,Beechview
6/1/2016 21:42,5/11/2016,1,Beechview
6/1/2016 21:43,5/12/2016,1,Beechview
6/1/2016 21:44,5/13/2016,1,Beechview
6/1/2016 21:44,5/14/2016,1,Beechview
6/1/2016 21:45,5/16/2016,1,Beechview
6/1/2016 21:46,5/17/2016,1,Beechview
6/1/2016 21:47,5/17/2016,1,Beechview
6/1/2016 21:47,5/19/2016,1,Beechview
6/1/2016 21:48,5/21/2016,1,Beechview
6/1/2016 23:13,6/1/2016,5,Hazelwood
6/2/2016 0:20,5/27/2016,2,Squirrel Hill
6/2/2016 0:21,5/28/2016,3,Squirrel Hill
6/2/2016 0:22,5/29/2016,2,Squirrel Hill
6/2/2016 0:23,5/29/2016,5,Squirrel Hill
6/2/2016 0:23,5/30/2016,4,Squirrel Hill
6/2/2016 0:25,6/1/2016,1,Squirrel Hill
